Query,RAG chatbot response,Category,Type,Human Response,BERT Similarity Score
What is the maximum value you will pay if my car is damaged?," Where damage to your car is covered under your policy, we’ll pay the cost of repairing or replacing your car up to its UK market value. This is the current value of your car at the time of the claim. It may be different to the amount you paid or any amount you provided when you insured your car with us.",What,Direct,We’ll pay the cost of repairing or replacing your car up to its UK market value at the time of the claim.,4.062110761
Who is covered to drive other cars?," Your certificate of motor insurance will show who has cover to drive other cars. We'll only know about the accident as quickly as possible. This will enable us to contact the other party and resolve the entire claim, giving you the best service and keep the costs down. How it works To get the ball rolling, we'll need to know things like: >Your personal details. >Your policy number. >Your car registration number. >A description of the loss or damage",Who,Direct,Your certificate of motor insurance will show who has cover to drive other cars.,3.639629802
What if I leave my car unlocked?,"We won’t pay a claim for theft or attempted theft if your car is left: >Unlocked. >With keys or key fobs in, on, or attached to the car. >With the engine running. >With a window or roof open.
",What,Direct,We won’t pay a claim for theft or attempted theft if your car is left unlocked or with the engine running.,4.160343787
Does Churchill have approved repairers?,Churchill customers have access to a national network of approved repairers.,What,Direct,"Yes, Churchill customers have access to a national network of approved repairers.",4.836848276
What is DriveSure?,"DriveSure is our telematics insurance product. It’s designed to capture how, when and where your car is driven, based on driver-monitoring technology.",What,Direct,DriveSure is our telematics insurance product that captures driving data based on driver-monitoring technology.,4.705955854
What’s the difference between commuting and business use?,Business use provides cover for driving in connection with a business or employment.,What,Direct,"Business use covers driving in connection with a business, while commuting covers driving to/from work.",4.31444727
How can I use my car abroad?,"If you want to use your car abroad, your cover depends on the type of policy you have and where you’re driving.",How,Direct,Your cover depends on the type of policy you have and where you’re driving. You may need a Green Card.,4.072723702
What about my electric car’s charging cables?,Your home charger and charging cables are considered an accessory to your car. This means they’re covered under ‘Section 2: Fire and theft’ or ‘Section 4: Accidental damage’ of your policy.,What,Direct,"Yes, home chargers and charging cables are covered under 'Fire and theft' or 'Accidental damage'.",3.948278655
What about my electric car battery?,You don't know,What,Direct,"Your car’s battery is covered if it’s damaged as a result of an insured incident, whether owned or leased.",1
How do I make a claim?,"To get the ball rolling, we’ll need to know things like: >Your personal details. >Your policy number. >Your car registration number. >A description of the loss or damage. >If you’ve been in an accident, the other driver’s details. Please have these handy when you get in touch. We’ll deal with it or tell you what you need to do.",How,Direct,"Call 0345 878 6261 for claims, 0800 328 9150 for windscreen claims, or 0345 246 2408 for the legal helpline.",1.866896182
What is the policy period?,"Period of Insurance
",What,Direct,"The period of insurance is the length of time you have cover, as indicated on your certificate and details.",3.844820707
What does ‘approved repairer’ mean?,A repairer in our network of contracted repairers who’s approved by us to carry out repairs to your car following a claim under this policy,What,Direct,An approved repairer is one in our network approved by us to carry out repairs following a claim.,4.246673633
How does the 5-year guarantee work?,"This means parts, materials and workmanship provided by our approved repairer are guaranteed for five years, unless you sell your car or end your lease.",How,Direct,"Parts, materials, and workmanship by our approved repairer are guaranteed for five years unless you sell the car.",4.578125553
What is the excess amount for windscreen repairs?,"The excess amounts for windscreen repairs and replacement are shown on your car insurance details.
",What,Direct,The excess amounts for windscreen repairs and replacement are shown on your car insurance details.,5
What is included in the policy?,When we use these words or terms in the policy they have these specific meanings (unless we say differently). These apply to your car insurance.,What,Direct,"The policy includes this booklet, your car insurance details, certificate, and, if applicable, Green Flag cover.",2.750686845
